B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_S1_30K	rho_S1_30K
23.051	 9.1183e-01	0.02002	1.0005	 2.0047e-02	 1.0002e+00	0.20022	 9.9503e-01
23.069	 9.1443e-01	0.020098	1.0005	 2.0126e-02	 1.0002e+00	0.20048	 9.9501e-01
23.088	 9.1684e-01	0.020178	1.0005	 2.0206e-02	 1.0002e+00	0.20074	 9.9502e-01
23.106	 9.1926e-01	0.020256	1.0005	 2.0287e-02	 1.0002e+00	0.201	 9.9501e-01
23.125	 9.2183e-01	0.020335	1.0005	 2.0367e-02	 1.0002e+00	0.20125	 9.9502e-01
23.143	 9.2408e-01	0.020414	1.0005	 2.0448e-02	 1.0001e+00	0.20151	 9.9504e-01
23.162	 9.2675e-01	0.020493	1.0005	 2.0528e-02	 1.0001e+00	0.20177	 9.9506e-01
23.181	 9.2898e-01	0.020572	1.0004	 2.0608e-02	 1.0001e+00	0.20203	 9.9510e-01
23.199	 9.3160e-01	0.020651	1.0004	 2.0689e-02	 1.0001e+00	0.20228	 9.9513e-01
23.218	 9.3397e-01	0.02073	1.0004	 2.0769e-02	 1.0001e+00	0.20254	 9.9519e-01
23.236	 9.3639e-01	0.02081	1.0004	 2.0850e-02	 1.0001e+00	0.2028	 9.9525e-01
23.255	 9.3891e-01	0.020889	1.0004	 2.0931e-02	 1.0000e+00	0.20306	 9.9534e-01
23.274	 9.4111e-01	0.020969	1.0004	 2.1012e-02	 1.0000e+00	0.20332	 9.9543e-01
23.293	 9.4369e-01	0.021049	1.0004	 2.1093e-02	 1.0000e+00	0.20358	 9.9553e-01
23.311	 9.4582e-01	0.021129	1.0003	 2.1174e-02	 9.9997e-01	0.20384	 9.9564e-01
23.33	 9.4832e-01	0.021208	1.0003	 2.1255e-02	 9.9996e-01	0.2041	 9.9575e-01
23.349	 9.5053e-01	0.021288	1.0003	 2.1336e-02	 9.9993e-01	0.20436	 9.9588e-01
23.367	 9.5282e-01	0.021368	1.0003	 2.1417e-02	 9.9992e-01	0.20462	 9.9600e-01
23.386	 9.5513e-01	0.021448	1.0003	 2.1499e-02	 9.9990e-01	0.20488	 9.9612e-01
23.405	 9.5717e-01	0.021528	1.0002	 2.1580e-02	 9.9989e-01	0.20514	 9.9624e-01
23.424	 9.5959e-01	0.021608	1.0002	 2.1662e-02	 9.9988e-01	0.20541	 9.9636e-01
23.442	 9.6155e-01	0.021687	1.0002	 2.1744e-02	 9.9987e-01	0.20567	 9.9648e-01
23.461	 9.6394e-01	0.021767	1.0002	 2.1826e-02	 9.9986e-01	0.20593	 9.9657e-01
23.48	 9.6598e-01	0.021848	1.0002	 2.1907e-02	 9.9986e-01	0.20619	 9.9667e-01
23.499	 9.6814e-01	0.021928	1.0002	 2.1989e-02	 9.9986e-01	0.20645	 9.9674e-01
23.517	 9.7029e-01	0.02201	1.0002	 2.2071e-02	 9.9986e-01	0.20672	 9.9681e-01
23.536	 9.7218e-01	0.02209	1.0002	 2.2153e-02	 9.9986e-01	0.20698	 9.9686e-01
23.555	 9.7442e-01	0.022171	1.0002	 2.2234e-02	 9.9986e-01	0.20724	 9.9689e-01
23.574	 9.7618e-01	0.022252	1.0003	 2.2316e-02	 9.9987e-01	0.2075	 9.9691e-01
23.593	 9.7835e-01	0.022333	1.0003	 2.2398e-02	 9.9988e-01	0.20777	 9.9691e-01
23.612	 9.8015e-01	0.022414	1.0003	 2.2480e-02	 9.9989e-01	0.20803	 9.9691e-01
23.631	 9.8208e-01	0.022495	1.0003	 2.2562e-02	 9.9991e-01	0.2083	 9.9689e-01
23.649	 9.8396e-01	0.022576	1.0003	 2.2645e-02	 9.9993e-01	0.20856	 9.9688e-01
23.668	 9.8560e-01	0.022657	1.0003	 2.2727e-02	 9.9995e-01	0.20883	 9.9685e-01
23.687	 9.8757e-01	0.022738	1.0003	 2.2809e-02	 9.9997e-01	0.20909	 9.9682e-01
23.706	 9.8906e-01	0.022819	1.0003	 2.2892e-02	 1.0000e+00	0.20936	 9.9679e-01
23.725	 9.9098e-01	0.0229	1.0003	 2.2974e-02	 1.0000e+00	0.20962	 9.9675e-01
23.744	 9.9250e-01	0.022982	1.0003	 2.3057e-02	 1.0001e+00	0.20989	 9.9672e-01
23.763	 9.9421e-01	0.023063	1.0003	 2.3140e-02	 1.0001e+00	0.21015	 9.9667e-01
23.782	 9.9586e-01	0.023144	1.0003	 2.3223e-02	 1.0001e+00	0.21042	 9.9664e-01
23.801	 9.9735e-01	0.023225	1.0003	 2.3305e-02	 1.0002e+00	0.21068	 9.9659e-01
23.82	 9.9917e-01	0.023306	1.0003	 2.3388e-02	 1.0002e+00	0.21095	 9.9655e-01
23.839	 1.0006e+00	0.023388	1.0003	 2.3471e-02	 1.0002e+00	0.21122	 9.9651e-01
23.858	 1.0025e+00	0.02347	1.0003	 2.3555e-02	 1.0002e+00	0.21149	 9.9646e-01
23.877	 1.0041e+00	0.023551	1.0003	 2.3638e-02	 1.0003e+00	0.21175	 9.9642e-01
23.896	 1.0059e+00	0.023633	1.0003	 2.3722e-02	 1.0003e+00	0.21202	 9.9636e-01
23.915	 1.0077e+00	0.023714	1.0002	 2.3805e-02	 1.0003e+00	0.21229	 9.9632e-01
23.934	 1.0093e+00	0.023797	1.0002	 2.3889e-02	 1.0003e+00	0.21256	 9.9626e-01
23.954	 1.0113e+00	0.023879	1.0002	 2.3972e-02	 1.0003e+00	0.21283	 9.9621e-01
23.973	 1.0129e+00	0.023962	1.0002	 2.4056e-02	 1.0003e+00	0.21309	 9.9615e-01
23.992	 1.0150e+00	0.024045	1.0002	 2.4140e-02	 1.0004e+00	0.21336	 9.9609e-01
24.011	 1.0167e+00	0.024127	1.0002	 2.4223e-02	 1.0004e+00	0.21363	 9.9604e-01
24.03	 1.0186e+00	0.02421	1.0002	 2.4307e-02	 1.0004e+00	0.2139	 9.9596e-01
24.049	 1.0204e+00	0.024293	1.0001	 2.4391e-02	 1.0004e+00	0.21417	 9.9591e-01
24.068	 1.0221e+00	0.024375	1.0001	 2.4475e-02	 1.0004e+00	0.21444	 9.9585e-01
24.088	 1.0241e+00	0.024458	1.0001	 2.4559e-02	 1.0004e+00	0.21471	 9.9579e-01
24.107	 1.0256e+00	0.024541	1.0001	 2.4643e-02	 1.0004e+00	0.21498	 9.9575e-01
24.126	 1.0277e+00	0.024624	1.0001	 2.4727e-02	 1.0003e+00	0.21525	 9.9570e-01
24.145	 1.0292e+00	0.024707	1.0001	 2.4812e-02	 1.0003e+00	0.21552	 9.9568e-01
24.165	 1.0311e+00	0.024789	1.0001	 2.4896e-02	 1.0003e+00	0.2158	 9.9565e-01
24.184	 1.0328e+00	0.024872	1.0	 2.4980e-02	 1.0003e+00	0.21607	 9.9564e-01
24.203	 1.0345e+00	0.024955	1.0	 2.5065e-02	 1.0003e+00	0.21634	 9.9563e-01
24.222	 1.0364e+00	0.025038	0.99997	 2.5149e-02	 1.0002e+00	0.21661	 9.9564e-01
24.241	 1.0379e+00	0.025121	0.99995	 2.5233e-02	 1.0002e+00	0.21688	 9.9565e-01
24.261	 1.0399e+00	0.025205	0.99993	 2.5318e-02	 1.0002e+00	0.21715	 9.9566e-01
24.28	 1.0414e+00	0.025289	0.9999	 2.5402e-02	 1.0002e+00	0.21743	 9.9569e-01
24.299	 1.0433e+00	0.025372	0.99989	 2.5487e-02	 1.0002e+00	0.2177	 9.9571e-01
24.319	 1.0449e+00	0.025455	0.99987	 2.5572e-02	 1.0002e+00	0.21797	 9.9574e-01
24.338	 1.0465e+00	0.025539	0.99986	 2.5656e-02	 1.0002e+00	0.21824	 9.9577e-01
24.358	 1.0483e+00	0.025623	0.99985	 2.5741e-02	 1.0002e+00	0.21852	 9.9581e-01
24.377	 1.0497e+00	0.025706	0.99984	 2.5826e-02	 1.0002e+00	0.21879	 9.9585e-01
24.396	 1.0516e+00	0.02579	0.99983	 2.5912e-02	 1.0002e+00	0.21907	 9.9588e-01
24.416	 1.0531e+00	0.025874	0.99982	 2.5997e-02	 1.0002e+00	0.21934	 9.9593e-01
24.435	 1.0549e+00	0.025958	0.99982	 2.6082e-02	 1.0002e+00	0.21962	 9.9596e-01
24.454	 1.0565e+00	0.026042	0.99981	 2.6167e-02	 1.0002e+00	0.21989	 9.9600e-01
24.474	 1.0582e+00	0.026127	0.9998	 2.6252e-02	 1.0002e+00	0.22016	 9.9602e-01
24.493	 1.0600e+00	0.026212	0.99978	 2.6337e-02	 1.0002e+00	0.22044	 9.9605e-01
24.513	 1.0615e+00	0.026296	0.99977	 2.6423e-02	 1.0002e+00	0.22071	 9.9606e-01
24.532	 1.0635e+00	0.026381	0.99976	 2.6508e-02	 1.0002e+00	0.22099	 9.9607e-01
24.552	 1.0649e+00	0.026465	0.99974	 2.6594e-02	 1.0003e+00	0.22127	 9.9608e-01
24.571	 1.0668e+00	0.02655	0.99974	 2.6680e-02	 1.0003e+00	0.22154	 9.9606e-01
24.591	 1.0683e+00	0.026634	0.99973	 2.6766e-02	 1.0003e+00	0.22182	 9.9605e-01
24.61	 1.0699e+00	0.026719	0.99974	 2.6852e-02	 1.0003e+00	0.2221	 9.9602e-01
24.63	 1.0716e+00	0.026803	0.99973	 2.6938e-02	 1.0004e+00	0.22237	 9.9599e-01
24.649	 1.0730e+00	0.026888	0.99974	 2.7024e-02	 1.0004e+00	0.22265	 9.9594e-01
24.669	 1.0747e+00	0.026973	0.99974	 2.7110e-02	 1.0004e+00	0.22293	 9.9590e-01
24.689	 1.0760e+00	0.027058	0.99975	 2.7197e-02	 1.0004e+00	0.22321	 9.9586e-01
24.708	 1.0777e+00	0.027142	0.99976	 2.7284e-02	 1.0004e+00	0.22349	 9.9581e-01
24.728	 1.0790e+00	0.027227	0.99977	 2.7370e-02	 1.0004e+00	0.22376	 9.9578e-01
24.747	 1.0804e+00	0.027312	0.99978	 2.7456e-02	 1.0004e+00	0.22404	 9.9574e-01
24.767	 1.0819e+00	0.027397	0.99979	 2.7543e-02	 1.0004e+00	0.22432	 9.9572e-01
24.787	 1.0832e+00	0.027482	0.9998	 2.7629e-02	 1.0004e+00	0.2246	 9.9570e-01
24.806	 1.0848e+00	0.027567	0.99981	 2.7716e-02	 1.0004e+00	0.22488	 9.9568e-01
24.826	 1.0860e+00	0.027653	0.99981	 2.7803e-02	 1.0003e+00	0.22516	 9.9567e-01
24.846	 1.0876e+00	0.027739	0.99983	 2.7890e-02	 1.0003e+00	0.22544	 9.9565e-01
24.865	 1.0888e+00	0.027824	0.99983	 2.7978e-02	 1.0003e+00	0.22572	 9.9566e-01
24.885	 1.0903e+00	0.027911	0.99986	 2.8065e-02	 1.0003e+00	0.226	 9.9564e-01
24.905	 1.0917e+00	0.027997	0.99988	 2.8153e-02	 1.0003e+00	0.22628	 9.9564e-01
24.924	 1.0930e+00	0.028083	0.99991	 2.8240e-02	 1.0003e+00	0.22656	 9.9563e-01
24.944	 1.0947e+00	0.028169	0.99993	 2.8328e-02	 1.0002e+00	0.22684	 9.9563e-01
24.964	 1.0959e+00	0.028255	0.99997	 2.8416e-02	 1.0002e+00	0.22713	 9.9562e-01
24.983	 1.0976e+00	0.028341	1.0	 2.8503e-02	 1.0002e+00	0.22741	 9.9561e-01
25.003	 1.0989e+00	0.028427	1.0	 2.8591e-02	 1.0002e+00	0.22769	 9.9562e-01
25.023	 1.1005e+00	0.028513	1.0001	 2.8678e-02	 1.0002e+00	0.22797	 9.9561e-01
25.043	 1.1020e+00	0.028599	1.0001	 2.8766e-02	 1.0001e+00	0.22826	 9.9562e-01
25.063	 1.1034e+00	0.028686	1.0001	 2.8855e-02	 1.0001e+00	0.22854	 9.9561e-01
25.082	 1.1051e+00	0.028771	1.0002	 2.8943e-02	 1.0001e+00	0.22882	 9.9561e-01
25.102	 1.1063e+00	0.028858	1.0002	 2.9031e-02	 1.0001e+00	0.2291	 9.9562e-01
25.122	 1.1080e+00	0.028945	1.0002	 2.9119e-02	 1.0001e+00	0.22939	 9.9562e-01
25.142	 1.1093e+00	0.029031	1.0003	 2.9207e-02	 1.0001e+00	0.22967	 9.9563e-01
25.162	 1.1108e+00	0.029118	1.0003	 2.9295e-02	 1.0000e+00	0.22996	 9.9564e-01
25.182	 1.1122e+00	0.029205	1.0003	 2.9384e-02	 1.0000e+00	0.23024	 9.9567e-01
25.202	 1.1136e+00	0.029293	1.0003	 2.9472e-02	 1.0000e+00	0.23053	 9.9569e-01
