B_4K	rho_4K	B_40K	rho_40K	B_80K	rho_80K	B_Nd_30K	rho_Nd_30K
13.406	 9.0745e-01	0.1026	1.0009	 1.0006e-01	 9.9997e-01	 8.4879e+01	 1.1598e+00
13.415	 9.0960e-01	0.10271	1.0003	 1.0019e-01	 9.9997e-01	 8.4878e+01	 1.1600e+00
13.425	 9.1018e-01	0.10282	1.001	 1.0033e-01	 9.9991e-01	 8.4877e+01	 1.1601e+00
13.435	 9.1152e-01	0.10293	1.0006	 1.0047e-01	 9.9991e-01	 8.4876e+01	 1.1601e+00
13.445	 9.1274e-01	0.10304	1.0007	 1.0061e-01	 9.9991e-01	 8.4876e+01	 1.1599e+00
13.454	 9.1105e-01	0.10315	1.0005	 1.0075e-01	 9.9993e-01	 8.4875e+01	 1.1593e+00
13.464	 9.1373e-01	0.10326	0.99989	 1.0089e-01	 9.9999e-01	 8.4874e+01	 1.1586e+00
13.474	 9.1251e-01	0.10337	1.0011	 1.0103e-01	 1.0001e+00	 8.4873e+01	 1.1579e+00
13.484	 9.1518e-01	0.10348	0.99963	 1.0117e-01	 1.0002e+00	 8.4872e+01	 1.1574e+00
13.493	 9.1419e-01	0.10359	1.0	 1.0131e-01	 1.0002e+00	 8.4871e+01	 1.1572e+00
13.503	 9.1518e-01	0.10371	0.99959	 1.0145e-01	 1.0001e+00	 8.4870e+01	 1.1571e+00
13.513	 9.1617e-01	0.10382	1.001	 1.0159e-01	 1.0000e+00	 8.4869e+01	 1.1572e+00
13.523	 9.1698e-01	0.10393	1.0008	 1.0174e-01	 9.9999e-01	 8.4867e+01	 1.1570e+00
13.532	 9.1983e-01	0.10404	1.0004	 1.0188e-01	 9.9999e-01	 8.4866e+01	 1.1567e+00
13.542	 9.1838e-01	0.10415	1.0007	 1.0202e-01	 9.9999e-01	 8.4865e+01	 1.1560e+00
13.552	 9.2001e-01	0.10426	0.99956	 1.0217e-01	 1.0000e+00	 8.4864e+01	 1.1553e+00
13.562	 9.1942e-01	0.10437	1.0008	 1.0231e-01	 9.9995e-01	 8.4862e+01	 1.1547e+00
13.572	 9.2216e-01	0.10448	0.99989	 1.0246e-01	 9.9995e-01	 8.4861e+01	 1.1543e+00
13.581	 9.2134e-01	0.1046	1.0007	 1.0261e-01	 9.9997e-01	 8.4859e+01	 1.1543e+00
13.591	 9.2187e-01	0.10471	0.99996	 1.0275e-01	 1.0001e+00	 8.4858e+01	 1.1545e+00
13.601	 9.2315e-01	0.10483	1.0005	 1.0290e-01	 1.0001e+00	 8.4856e+01	 1.1549e+00
13.611	 9.2309e-01	0.10494	1.0003	 1.0304e-01	 1.0001e+00	 8.4854e+01	 1.1551e+00
13.621	 9.2512e-01	0.10505	0.99966	 1.0318e-01	 1.0001e+00	 8.4853e+01	 1.1551e+00
13.631	 9.2402e-01	0.10517	1.0005	 1.0332e-01	 1.0000e+00	 8.4851e+01	 1.1549e+00
13.641	 9.2727e-01	0.10528	0.99933	 1.0347e-01	 9.9997e-01	 8.4849e+01	 1.1545e+00
13.65	 9.2594e-01	0.10539	1.0006	 1.0361e-01	 9.9985e-01	 8.4848e+01	 1.1542e+00
13.66	 9.2855e-01	0.1055	0.99946	 1.0375e-01	 9.9981e-01	 8.4846e+01	 1.1542e+00
13.67	 9.2791e-01	0.10561	1.0003	 1.0390e-01	 9.9983e-01	 8.4844e+01	 1.1545e+00
13.68	 9.2942e-01	0.10572	0.99989	 1.0404e-01	 9.9993e-01	 8.4842e+01	 1.1551e+00
13.69	 9.3099e-01	0.10584	1.0002	 1.0418e-01	 1.0000e+00	 8.4840e+01	 1.1557e+00
13.7	 9.2925e-01	0.10595	1.0008	 1.0433e-01	 1.0000e+00	 8.4838e+01	 1.1562e+00
13.71	 9.3140e-01	0.10606	1.0005	 1.0447e-01	 1.0000e+00	 8.4836e+01	 1.1564e+00
13.72	 9.3030e-01	0.10617	1.0007	 1.0461e-01	 1.0000e+00	 8.4834e+01	 1.1563e+00
13.73	 9.3297e-01	0.10629	0.99946	 1.0475e-01	 1.0001e+00	 8.4831e+01	 1.1561e+00
13.74	 9.3163e-01	0.1064	1.0007	 1.0489e-01	 1.0000e+00	 8.4829e+01	 1.1560e+00
13.75	 9.3390e-01	0.10651	0.99986	 1.0503e-01	 9.9999e-01	 8.4827e+01	 1.1560e+00
13.759	 9.3489e-01	0.10663	1.001	 1.0518e-01	 9.9993e-01	 8.4825e+01	 1.1564e+00
13.769	 9.3483e-01	0.10674	1.0006	 1.0532e-01	 9.9993e-01	 8.4822e+01	 1.1569e+00
13.779	 9.3634e-01	0.10685	1.0002	 1.0546e-01	 9.9993e-01	 8.4820e+01	 1.1574e+00
13.789	 9.3594e-01	0.10697	1.0007	 1.0561e-01	 9.9991e-01	 8.4817e+01	 1.1578e+00
13.799	 9.3797e-01	0.10708	0.99999	 1.0575e-01	 9.9991e-01	 8.4815e+01	 1.1578e+00
13.809	 9.3599e-01	0.1072	1.0006	 1.0590e-01	 9.9989e-01	 8.4812e+01	 1.1575e+00
13.819	 9.3908e-01	0.10732	0.9992	 1.0604e-01	 9.9991e-01	 8.4810e+01	 1.1570e+00
13.829	 9.3884e-01	0.10743	1.0002	 1.0619e-01	 9.9991e-01	 8.4807e+01	 1.1565e+00
13.839	 9.4001e-01	0.10755	0.99936	 1.0633e-01	 9.9999e-01	 8.4804e+01	 1.1563e+00
13.849	 9.3995e-01	0.10766	1.0006	 1.0648e-01	 1.0001e+00	 8.4802e+01	 1.1563e+00
13.859	 9.4001e-01	0.10777	1.0003	 1.0662e-01	 1.0000e+00	 8.4799e+01	 1.1565e+00
13.869	 9.4187e-01	0.10788	0.99949	 1.0677e-01	 9.9997e-01	 8.4796e+01	 1.1568e+00
13.879	 9.4099e-01	0.108	1.0003	 1.0692e-01	 9.9983e-01	 8.4793e+01	 1.1569e+00
13.889	 9.4402e-01	0.10811	0.99992	 1.0706e-01	 9.9975e-01	 8.4790e+01	 1.1567e+00
13.899	 9.4227e-01	0.10822	1.0007	 1.0721e-01	 9.9969e-01	 8.4787e+01	 1.1563e+00
13.909	 9.4367e-01	0.10833	0.9992	 1.0736e-01	 9.9969e-01	 8.4784e+01	 1.1558e+00
13.92	 9.4408e-01	0.10844	1.0005	 1.0750e-01	 9.9971e-01	 8.4781e+01	 1.1553e+00
13.93	 9.4628e-01	0.10855	1.0001	 1.0765e-01	 9.9975e-01	 8.4778e+01	 1.1551e+00
13.94	 9.4681e-01	0.10866	1.0002	 1.0779e-01	 9.9983e-01	 8.4775e+01	 1.1551e+00
13.95	 9.4518e-01	0.10878	1.0	 1.0794e-01	 9.9993e-01	 8.4771e+01	 1.1554e+00
13.96	 9.4762e-01	0.10889	0.99949	 1.0808e-01	 1.0000e+00	 8.4768e+01	 1.1558e+00
13.97	 9.4663e-01	0.10901	1.0004	 1.0823e-01	 1.0001e+00	 8.4765e+01	 1.1559e+00
13.98	 9.4948e-01	0.10912	0.99943	 1.0837e-01	 1.0001e+00	 8.4761e+01	 1.1558e+00
13.99	 9.4855e-01	0.10923	1.0009	 1.0852e-01	 1.0001e+00	 8.4758e+01	 1.1555e+00
14.0	 9.5059e-01	0.10935	0.99966	 1.0866e-01	 9.9995e-01	 8.4754e+01	 1.1549e+00
14.01	 9.5059e-01	0.10946	1.0002	 1.0881e-01	 9.9983e-01	 8.4751e+01	 1.1545e+00
14.02	 9.5094e-01	0.10958	1.0	 1.0896e-01	 9.9977e-01	 8.4747e+01	 1.1544e+00
14.03	 9.5268e-01	0.10969	1.0006	 1.0910e-01	 9.9975e-01	 8.4744e+01	 1.1545e+00
14.041	 9.5152e-01	0.1098	1.0002	 1.0925e-01	 9.9981e-01	 8.4740e+01	 1.1548e+00
14.051	 9.5309e-01	0.10992	0.99963	 1.0939e-01	 9.9991e-01	 8.4736e+01	 1.1552e+00
14.061	 9.5192e-01	0.11003	1.0009	 1.0954e-01	 9.9997e-01	 8.4733e+01	 1.1554e+00
14.071	 9.5442e-01	0.11015	0.99979	 1.0969e-01	 1.0000e+00	 8.4729e+01	 1.1554e+00
14.081	 9.5373e-01	0.11026	1.0009	 1.0984e-01	 9.9997e-01	 8.4725e+01	 1.1551e+00
14.091	 9.5570e-01	0.11037	1.0001	 1.0998e-01	 9.9999e-01	 8.4721e+01	 1.1547e+00
14.102	 9.5617e-01	0.11049	1.001	 1.1013e-01	 1.0001e+00	 8.4717e+01	 1.1544e+00
14.112	 9.5628e-01	0.1106	1.0001	 1.1028e-01	 1.0001e+00	 8.4713e+01	 1.1543e+00
14.122	 9.5809e-01	0.11071	0.99996	 1.1042e-01	 1.0001e+00	 8.4709e+01	 1.1545e+00
14.132	 9.5803e-01	0.11083	1.0002	 1.1057e-01	 1.0001e+00	 8.4705e+01	 1.1549e+00
14.142	 9.6018e-01	0.11095	0.99903	 1.1072e-01	 1.0001e+00	 8.4701e+01	 1.1554e+00
14.152	 9.5803e-01	0.11106	1.0006	 1.1087e-01	 9.9993e-01	 8.4697e+01	 1.1557e+00
14.163	 9.6018e-01	0.11118	1.0001	 1.1101e-01	 9.9987e-01	 8.4692e+01	 1.1557e+00
14.173	 9.5966e-01	0.11129	1.0006	 1.1116e-01	 9.9983e-01	 8.4688e+01	 1.1555e+00
14.183	 9.6059e-01	0.11141	0.99979	 1.1130e-01	 9.9987e-01	 8.4684e+01	 1.1552e+00
14.193	 9.6117e-01	0.11153	1.0006	 1.1145e-01	 9.9991e-01	 8.4679e+01	 1.1549e+00
14.204	 9.6128e-01	0.11164	0.99996	 1.1159e-01	 9.9993e-01	 8.4675e+01	 1.1549e+00
14.214	 9.6361e-01	0.11175	0.99976	 1.1174e-01	 9.9995e-01	 8.4670e+01	 1.1552e+00
14.224	 9.6251e-01	0.11187	1.0007	 1.1189e-01	 9.9997e-01	 8.4666e+01	 1.1557e+00
14.234	 9.6454e-01	0.11198	1.0003	 1.1204e-01	 1.0000e+00	 8.4661e+01	 1.1562e+00
14.245	 9.6280e-01	0.11209	1.0014	 1.1219e-01	 9.9999e-01	 8.4657e+01	 1.1566e+00
14.255	 9.6512e-01	0.11221	0.99969	 1.1233e-01	 9.9997e-01	 8.4652e+01	 1.1566e+00
14.265	 9.6448e-01	0.11233	1.0003	 1.1248e-01	 9.9991e-01	 8.4647e+01	 1.1564e+00
14.275	 9.6489e-01	0.11244	0.99976	 1.1263e-01	 9.9987e-01	 8.4643e+01	 1.1560e+00
14.286	 9.6623e-01	0.11256	1.0001	 1.1278e-01	 9.9983e-01	 8.4638e+01	 1.1558e+00
14.296	 9.6629e-01	0.11267	1.0003	 1.1293e-01	 9.9983e-01	 8.4633e+01	 1.1558e+00
14.306	 9.6832e-01	0.11279	1.0001	 1.1309e-01	 9.9985e-01	 8.4628e+01	 1.1561e+00
14.317	 9.6687e-01	0.1129	1.0012	 1.1324e-01	 9.9989e-01	 8.4623e+01	 1.1566e+00
14.327	 9.6983e-01	0.11302	0.99982	 1.1339e-01	 9.9997e-01	 8.4618e+01	 1.1572e+00
14.337	 9.6855e-01	0.11313	1.0004	 1.1354e-01	 9.9999e-01	 8.4613e+01	 1.1575e+00
14.348	 9.6989e-01	0.11325	0.99979	 1.1369e-01	 9.9999e-01	 8.4608e+01	 1.1576e+00
14.358	 9.7024e-01	0.11337	1.0007	 1.1384e-01	 9.9997e-01	 8.4603e+01	 1.1574e+00
14.368	 9.7163e-01	0.11349	1.0002	 1.1399e-01	 9.9999e-01	 8.4598e+01	 1.1571e+00
14.379	 9.7320e-01	0.11361	1.0004	 1.1414e-01	 1.0000e+00	 8.4592e+01	 1.1568e+00
14.389	 9.7134e-01	0.11372	1.0005	 1.1429e-01	 1.0000e+00	 8.4587e+01	 1.1568e+00
14.399	 9.7303e-01	0.11384	0.99959	 1.1443e-01	 9.9999e-01	 8.4582e+01	 1.1570e+00
14.41	 9.7187e-01	0.11396	1.0009	 1.1458e-01	 9.9991e-01	 8.4577e+01	 1.1574e+00
14.42	 9.7384e-01	0.11408	1.0003	 1.1473e-01	 9.9991e-01	 8.4571e+01	 1.1578e+00
14.43	 9.7338e-01	0.11419	1.0009	 1.1488e-01	 9.9993e-01	 8.4566e+01	 1.1579e+00
14.441	 9.7553e-01	0.11431	0.99946	 1.1503e-01	 1.0000e+00	 8.4560e+01	 1.1577e+00
14.451	 9.7576e-01	0.11443	1.0003	 1.1519e-01	 1.0001e+00	 8.4555e+01	 1.1573e+00
14.462	 9.7565e-01	0.11454	0.99999	 1.1534e-01	 1.0001e+00	 8.4549e+01	 1.1566e+00
14.472	 9.7692e-01	0.11466	0.99992	 1.1549e-01	 1.0000e+00	 8.4543e+01	 1.1561e+00
14.482	 9.7570e-01	0.11478	1.0006	 1.1564e-01	 9.9993e-01	 8.4538e+01	 1.1558e+00
14.493	 9.7873e-01	0.1149	0.99976	 1.1579e-01	 9.9993e-01	 8.4532e+01	 1.1557e+00
14.503	 9.7803e-01	0.11502	1.0007	 1.1595e-01	 9.9997e-01	 8.4526e+01	 1.1559e+00
14.514	 9.7966e-01	0.11514	1.0001	 1.1610e-01	 1.0000e+00	 8.4520e+01	 1.1560e+00
14.524	 9.7832e-01	0.11526	1.001	 1.1625e-01	 9.9997e-01	 8.4515e+01	 1.1560e+00
14.534	 9.7913e-01	0.11537	0.99979	 1.1641e-01	 9.9989e-01	 8.4509e+01	 1.1556e+00
14.545	 9.7995e-01	0.11549	1.0001	 1.1656e-01	 9.9977e-01	 8.4503e+01	 1.1551e+00
14.555	 9.8041e-01	0.11561	0.99992	 1.1671e-01	 9.9975e-01	 8.4497e+01	 1.1544e+00
14.566	 9.8245e-01	0.11573	1.0004	 1.1687e-01	 9.9979e-01	 8.4491e+01	 1.1538e+00
14.576	 9.7913e-01	0.11585	1.0011	 1.1702e-01	 9.9987e-01	 8.4484e+01	 1.1535e+00
