# Hall coefficient R_H(T) for Nd-LSCO p=0.24
# Source: Collignon et al., PRB 95, 224517 (2017), Fig. 5
# Digitized from figure (H=16T pale + H=33T dark curves, orange)
# Columns: T [K]   R_H [mm³/C]
# Note: data starts ~8K due to overlap at low T; R_H(0)≈1.0 mm³/C (flat extrapolation)
# T[K]   RH[mm3/C]
9.645  1.0053
9.892  1.0053
10.139  1.0075
10.386  1.0075
10.634  1.0075
10.881  1.0097
11.128  1.0075
11.376  1.0075
11.623  1.0075
11.870  1.0075
12.612  1.0075
12.859  1.0075
13.107  1.0075
13.601  1.0119
13.849  1.0141
14.590  1.0207
15.085  1.0207
15.580  1.0207
16.321  1.0207
16.816  1.0207
17.063  1.0207
17.311  1.0207
17.558  1.0207
18.053  1.0207
18.300  1.0251
18.794  1.0251
19.042  1.0273
19.536  1.0273
19.784  1.0273
20.031  1.0273
20.278  1.0273
20.526  1.0273
21.020  1.0273
21.267  1.0273
21.515  1.0273
21.762  1.0273
22.009  1.0273
22.257  1.0295
22.504  1.0273
22.998  1.0251
23.246  1.0251
23.493  1.0251
23.740  1.0251
23.988  1.0229
24.235  1.0229
24.482  1.0229
24.730  1.0229
25.224  1.0229
25.719  1.0229
25.966  1.0229
26.213  1.0251
26.461  1.0229
26.708  1.0229
26.955  1.0229
27.202  1.0229
27.450  1.0229
27.697  1.0229
28.192  1.0229
28.439  1.0207
28.686  1.0207
28.934  1.0229
29.181  1.0207
29.428  1.0207
29.675  1.0207
29.923  1.0207
30.170  1.0207
30.417  1.0207
30.665  1.0207
30.912  1.0207
31.159  1.0207
31.406  1.0207
31.901  1.0207
32.148  1.0207
32.643  1.0207
32.890  1.0207
33.138  1.0185
33.879  1.0185
34.127  1.0163
34.374  1.0163
34.621  1.0163
34.869  1.0163
35.116  1.0141
35.363  1.0163
35.611  1.0097
35.858  1.0163
36.105  1.0163
36.352  1.0163
36.600  1.0163
36.847  1.0163
37.094  1.0163
37.342  1.0163
37.589  1.0163
37.836  1.0119
38.083  1.0119
38.331  1.0119
38.578  1.0119
38.825  1.0119
39.073  1.0119
39.320  1.0097
39.815  1.0119
40.062  1.0119
40.309  1.0119
40.556  1.0119
40.804  1.0119
41.051  1.0119
41.298  1.0119
41.546  1.0119
41.793  1.0119
42.040  1.0119
42.287  1.0075
42.535  1.0075
43.029  1.0075
43.524  1.0031
43.771  1.0031
44.019  1.0031
44.266  1.0031
44.513  1.0075
44.760  1.0075
45.008  1.0031
45.255  1.0053
45.502  1.0053
45.750  1.0053
45.997  1.0053
46.244  1.0053
46.491  1.0053
46.739  1.0053
46.986  1.0031
47.233  1.0031
47.481  1.0031
47.728  1.0031
47.975  1.0031
48.223  1.0031
48.470  1.0031
48.717  1.0031
48.964  1.0031
49.212  1.0031
49.459  1.0031
49.706  1.0009
49.954  1.0009
50.201  0.9987
50.448  0.9987
50.696  0.9987
50.943  0.9965
51.437  0.9965
51.685  0.9965
51.932  0.9965
52.179  0.9965
52.427  0.9965
52.674  0.9965
52.921  0.9921
53.168  0.9921
53.416  0.9899
53.663  0.9899
53.910  0.9899
54.158  0.9877
54.405  0.9877
54.652  0.9877
54.900  0.9877
55.147  0.9877
55.394  0.9854
55.641  0.9877
55.889  0.9854
56.136  0.9854
56.383  0.9832
56.631  0.9832
58.856  0.9832
59.104  0.9832
59.598  0.9810
59.845  0.9810
60.093  0.9810
62.071  0.9810
64.049  0.9810
64.297  0.9810
64.544  0.9766
64.791  0.9722
65.286  0.9678
65.533  0.9656
65.781  0.9656
66.028  0.9634
66.275  0.9656
66.522  0.9634
66.770  0.9634
67.264  0.9634
67.512  0.9590
67.759  0.9568
68.006  0.9568
68.253  0.9568
68.501  0.9590
68.748  0.9590
68.995  0.9590
69.243  0.9590
69.737  0.9590
69.985  0.9590
70.232  0.9590
70.479  0.9590
70.726  0.9568
70.974  0.9546
71.468  0.9546
71.716  0.9546
71.963  0.9546
72.210  0.9546
72.457  0.9502
72.705  0.9546
72.952  0.9546
73.199  0.9546
73.447  0.9546
73.694  0.9524
73.941  0.9524
74.189  0.9524
74.436  0.9524
74.683  0.9524
74.930  0.9524
75.178  0.9502
75.425  0.9502
75.672  0.9502
75.920  0.9502
76.167  0.9502
76.414  0.9502
76.662  0.9502
76.909  0.9458
77.156  0.9414
77.403  0.9458
77.651  0.9414
77.898  0.9414
78.145  0.9392
78.393  0.9392
78.640  0.9392
78.887  0.9392
79.134  0.9369
79.382  0.9237
79.629  0.9237
79.876  0.9215
